,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Más_sconj,ea_obj,fhéin_adj,",_pun",ar_prep,bharr_noun,an_det,leathanaigh_noun,chéanna_adj,sin_dem,",_pun",deir_vb.pres,Ó_prop,Conchubhair_prop,:_pun,``_pun,Is_cop,é_obj,ceann_noun,de_prep,bhunargóintí_noun,an_det,leabhair_noun,seo_dem,go_comp,raibh_be.sub,dioscúrsa_sub,an_det,mheathlaithe_noun,agus_conj,dioscúrsa_noun,na_det,fola_noun,lárnach_prep,sna_prep,hidé-eolaíochtaí_noun,a_rel,spreag_vb.past,",_pun",a_rel,mhúnlaigh_vb.past,agus_noun,a_rel,chomhairligh_vn,gluaiseacht_noun,na_par,Gaeilge_prop,le_prep,linn_prep,na_det,hAthbheochana_prop,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Tháinig_vb.past,cuid_noun,mhór_adj,de_prep,theoiricí_noun,an_det,fin_noun,de_prep,siècle_det,le_prep,chéile_noun,sa_prep,léacht_noun,sin_dem,:_pun,an_det,náisiúnachas_noun,cultúrtha_adj,",_pun",an_par,meathlú_prop,",_pun",díothú_vn,na_det,gciníocha_noun,",_pun",an_det,cros-síolrú_noun,agus_conj,meascadh_prep,na_det,fola_noun,-_pun,agus_conj,iad_obj,ag_prep,múnlú_noun,idé-eolaíochtaí_prep,na_det,hAthbheochana_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Bhí_be.past,meathlú_prep,impireacht_noun,na_par,Breataine_prop,i_prep,gceist_noun,agus_conj,ba_cop,rud_noun,fisiciúil_prep,cuid_noun,mhaith_adj,a_pos,bhí_be.past,ansin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Nó_conj,",_pun",maidir_prep,leis_prep,na_det,canúintí_noun,",_pun",gur_cop,go_prep,Chath_prop,Chionn_prop,tSáile_prop,",_pun",dar_prep,le_prep,Nicholas_prop,Williams_prop,",_pun",tionchar_noun,chanúintí_prep,na_det,Gaeilge_noun,le_prep,brath_noun,ar_prep,scríbhneoireacht_noun,na_par,Gaeilge_prop,den_prep,chéad_adj,uair_noun,?_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Dúshlán_cop,eile_adj,a_pos,bhí_be.past,le_prep,sárú_noun,leabhair_noun,is_cop,ea_obj,dúshlán_noun,na_det,téarmaíochta_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Go_par,leor_adj,den_prep,fhianaise_noun,is_cop,gá_noun,a_rel,chur_vn,i_prep,láthair_noun,an_noun,léitheora_prep,i_prep,dtráchtas_det,athbhreithnitheach_prop,dá_prep,leithéid_noun,seo_dem,is_cop,ábhar_noun,tuirsiúil_pun,seansiúlta_END,é_obj,dár_prep,bhformhór_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Ar_prep,na_det,cuntáis_noun,is_cop,suimiúla_obj,sa_prep,leabhar_noun,tá_be.pres,an_det,chonspóid_noun,idir_prep,bheirt_num,anaithnid_pun,a_voc,aithnítear_vb.sub.aut,as_prep,a_pos,n-ionad_noun,cónaithe_noun,cathrach_adj,nó_conj,tuaithe_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,<START>_START,Chuir_vb.past,'Fear_sub,na_par,Tuaithe_prop,'_prop,ina_prep,choinne_noun,sin_dem,go_comp,léir_adj,agus_conj,mhaígh_vb.past,sé_sub,-_pun,mar_sconj,a_rel,dhéanfadh_vb.con,an_det,Corcorach_prop,in_prep,Humanitas_prop,ar_prep,ball_noun,!_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,<START>_START,Is_cop,é_obj,pointe_noun,a_rel,bhaineann_vb.pres,Ó_prop,Conchubhair_prop,as_prep,an_det,aighneas_noun,seo_dem,gur_cop,mór_adj,an_det,trua_noun,nár_comp,tapaíodh_be.pres,deis_noun,na_det,hargóna_noun,nó_conj,nár_comp,glacadh_vb.past.aut,léi_prep,mar_prep,chuid_noun,de_prep,dhioscúrsa_noun,na_par,hAthbheochana_prop,feasta_adj,:_pun,``_pun,Níor_neg,ghlac_vb.past,aon_qual,duine_noun,seachas_adv,'Fear_noun,na_par,Tuaithe_prop,'_prop,leis_prep,an_det,dúshlán_noun,a_rel,chruthaigh_vb.past,'Fear_sub,na_par,Cathrach_prop,'_prop,",_pun",agus_conj,níor_neg,glacadh_vb.past.aut,leis_prep,an_det,díospóireacht_prop,mar_prep,chuid_noun,de_prep,chanóin_adj,na_par,hAthbheochana_prop,ar_prep,chúiseanna_noun,nach_cop,eol_noun,nó_conj,nach_cop,léir_adj,dúinn_prep,inniu_adv,._pun,''_pun,<END>_END,,,
