,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
0,<START>_START,Agus_conj,ba_cop,mhó_adj,go_comp,mór_adj,an_det,tóir_noun,a_voc,bhí_vb.past,ar_rel,fhíon_noun,ná_sconj,mar_conj,atá_vb.pres,anois_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,<START>_START,Bé_cop,seanathair_vb.past.spec,Sairséalaigh_prop,Luimní_prop,a_voc,dheartháir_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,<START>_START,Deir_vb.pres,rúnaí_noun,an_det,Tiarna_prop,Mountjoy_prop,sa_prep,16ú_num,aois_noun,``_pun,má_sconj,dhíolann_vb.pres,aon_num,Éireannach_adj,bó_noun,nó_conj,capall_noun,",_pun",nach_cop,bhfilleann_vb.sub,abhaile_adv,go_comp,gcaitear_vb.sub,a_voc,luach_noun,ar_rel,fhíon_noun,(_pun,ar_pos,a_voc,dtugann_vb.pres,siad_sub,``_pun,iníon_noun,rí_noun,na_par,Spáinne_prop,''_prop,)_pun,nó_conj,ar_rel,uisce_noun,beatha_adj,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,<START>_START,Bhí_vb.past,gach_qual,bean_noun,sa_prep,gcathair_noun,in_prep,ann_prep,roinnt_noun,bribhéireachta_noun,a_voc,dhéanamh_vn,agus_sconj,díoltaí_rel,é_obj,ar_rel,dhá_num,phingin_noun,an_det,cárt_prop,—_pun,dhá_num,oiread_noun,an_det,luach_noun,Londain_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,<START>_START,cuir_vb.ord.syn,i_prep,gcás_noun,",_pun",ag_prep,an_det,bpobal_noun,a_voc,tháinig_vb.past,ag_prep,freastal_vn,ar_rel,Eaglais_prop,Chríost_prop,",_pun",go_comp,háirithe_adj,sa_prep,lána_det,ar_pos,ar_pos,baistíodh_vb.past.spec,``_pun,Ifreann_noun,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,<START>_START,(_pun,Ba_cop,'fhéidir_noun,go_cop,raibh_vb.sub,an_det,dochtúir_noun,ró-mhuiníneach_pun,nuair_sconj,nar_cop,shamhlaigh_vb.sub,sé_sub,aon_qual,chontúirt_noun,go_comp,bpléascfaí_prop,cléir_noun,agus_conj,pobal_noun,frí_prep,chéile_noun,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,<START>_START,Bhí_vb.past,tábhairne_noun,cáiliúil_adj,i_prep,gclós_prop,Eaglais_prop,Chríost_prop,i_prep,ré_noun,na_par,Bainríona_prop,Anne_prop,",_pun",na_det,``_pun,Cros-eochracha_prop,''_prop,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,<START>_START,Do_par,'ordaigh_vb.past.spec,sé_sub,don_prep,bhfo-dheán_det,agus_sconj,do_pos,na_par,canónaigh_vb.past.spec,pionós_noun,a_voc,ghearradh_vn,ar_rel,aon_qual,duine_noun,den_prep,mhionchléir_prop,a_voc,bheadh_vb.con,páirteach_adj,sa_prep,gcumann_noun,",_pun",pionós_noun,de_prep,réir_prep,``_pun,their_vb.past,disobedience_sub,._pun,''_pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,<START>_START,Nuair_sconj,a_voc,cailleadh_vb.ord,in_prep,aois_noun,a_voc,91_num,bliain_noun,i_prep,1720_prop,é_obj,scríobhadh_vb.past.aut,feartlaoi_vb.past.spec,a_voc,chríochnaigh_vb.past,mar_sconj,seo_dem,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,<START>_START,Bhí_vb.past,teach_noun,eile_qual,in_prep,aice_prep,leis_prep,",_pun",``_pun,Dick_prop,'s_prop,",_pun",''_prop,a_voc,raibh_vb.sub,baint_vn,aige_prep,le_prep,eachtra_noun,staire_noun,freisin_adv,._pun,<END>_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
